File Name,result0.01,result0.001,result0.01-2,result0.001-2
19ë²?1_Data_20240916_194446.csv,93.7753444,92.93052148,87.42365502,85.84687567
19ë²?2_Data_20240916_195405.csv,97.15052263,96.2752927,94.24289266,92.54312105
19ë²?3_Data_20240916_200203.csv,96.39444476,95.52602633,92.71530675,91.04308679
19ë²?4_Data_20240916_200912.csv,97.00249967,96.12860328,93.94382587,92.24944825
19ë²?5_Data_20240916_201639.csv,96.38586331,95.5175222,92.69796873,91.02606148
19ë²?6_Data_20240918_195149.csv,96.19054682,95.32396532,92.3033497,90.63855983
19ë²?7_Data_20240918_195846.csv,97.23004251,96.35409618,94.40355527,92.70088593
1ë²?1_Data_20240910_173608.csv,96.6947095,95.82358599,93.32196408,91.63880241
1ë²?2_Data_20240910_174533.csv,97.08612457,96.21147479,94.11278229,92.41535735
1ë²?3_Data_20240910_175422.csv,97.96530086,97.08273058,95.88907725,94.15961494
1ë²?4_Data_20240910_180348.csv,98.55730532,97.66940167,97.0851679,95.33413281
1ë²?5_Data_20240910_181134.csv,98.74791174,97.85829091,97.47027065,95.71228982
1ë²?6_Data_20240911_185956.csv,97.44480475,96.56692363,94.83746266,93.12696734
1ë²?7_Data_20240911_190841.csv,97.97780513,97.0951222,95.91434098,94.18442301
20ë²?1_Data_20240916_210601.csv,97.09991977,96.22514572,94.14065423,92.4427266
20ë²?2_Data_20240916_211359.csv,97.67839792,96.79841236,95.30941621,93.5904087
20ë²?3_Data_20240916_212103.csv,97.85723727,96.97564054,95.67074469,93.94522023
20ë²?4_Data_20240916_212803.csv,98.32155521,97.43577543,96.60885644,94.86641214
20ë²?5_Data_20240916_213458.csv,97.77023309,96.88942018,95.49496074,93.77260674
20ë²?6_Data_20240918_201113.csv,97.59659775,96.71734912,95.14414648,93.42811979
20ë²?7_Data_20240918_201759.csv,98.06358873,97.18013297,96.08765886,94.35461491
21ë²?1_Data_20240919_111932.csv,97.9646138,97.08204971,95.8876891,94.15825182
21ë²?2_Data_20240919_112757.csv,97.60447144,96.72515187,95.16005453,93.44374092
21ë²?3_Data_20240919_113515.csv,96.69525547,95.82412704,93.32306716,91.63988559
21ë²?4_Data_20240919_114256.csv,98.72407349,97.83466742,97.42210766,95.6649955
21ë²?5_Data_20240919_114935.csv,97.7667425,96.88596104,95.48790832,93.76568152
21ë²?6_Data_20240920_163605.csv,98.3288701,97.44302442,96.6236355,94.88092464
21ë²?7_Data_20240920_164240.csv,97.90097467,97.01898391,95.75911209,94.03199383
22ë²?1_Data_20240919_122427.csv,95.11404768,94.25716437,90.12838205,88.50282005
22ë²?2_Data_20240919_123306.csv,98.68453774,97.79548785,97.34222931,95.58655784
22ë²?3_Data_20240919_123933.csv,99.28466809,98.39021162,98.55473757,96.77719721
22ë²?4_Data_20240919_124533.csv,99.27104106,98.37670736,98.52720541,96.75016163
22ë²?5_Data_20240919_125119.csv,98.95598218,98.06448684,97.89065787,96.12509491
22ë²?6_Data_20240920_183122.csv,98.24551765,97.3604229,96.45522954,94.71555606
22ë²?7_Data_20240920_183854.csv,98.86169619,97.97105028,97.70016169,95.93803452
23ë²?1_Data_20240919_152949.csv,96.28250107,95.41509115,92.48913481,90.8209941
23ë²?2_Data_20240919_153750.csv,93.40920707,92.56768268,86.68390815,85.12047093
23ë²?3_Data_20240919_154444.csv,95.93632321,95.07203201,91.78971424,90.13418833
23ë²?4_Data_20240919_155104.csv,97.38134502,96.50403561,94.7092481,93.00106527
23ë²?5_Data_20240919_155911.csv,97.959244,97.07672829,95.87683992,94.14759832
23ë²?6_Data_20240920_160329.csv,96.81993231,95.94768067,93.57496528,91.88724046
23ë²?7_Data_20240920_161023.csv,97.58280784,96.70368345,95.11628524,93.40076105
24ë²?1_Data_20240919_171658.csv,96.19408852,95.32747511,92.31050537,90.64558643
24ë²?2_Data_20240919_172427.csv,96.66463735,95.79378476,93.26120607,91.57914022
24ë²?3_Data_20240919_173218.csv,96.41638257,95.54776651,92.75963009,91.08661071
24ë²?4_Data_20240919_173908.csv,95.34160209,94.48266874,90.58813483,88.9542807
24ë²?5_Data_20240919_174607.csv,97.04481118,96.1705336,94.02931238,92.33339292
24ë²?6_Data_20240920_222225.csv,95.98605403,95.1213148,91.89019079,90.23285268
24ë²?7_Data_20240920_224010.csv,98.24749468,97.36238212,96.45922395,94.71947843
25ë²?1_Data_20240919_190200.csv,98.2311661,97.34620064,96.42623354,94.68708304
25ë²?2_Data_20240919_192522.csv,99.26832257,98.37401336,98.52171295,96.74476823
25ë²?3_Data_20240919_193257.csv,97.60356416,96.72425277,95.15822147,93.44194092
25ë²?4_Data_20240919_194023.csv,99.26829374,98.37398479,98.52165469,96.74471102
25ë²?5_Data_20240919_194727.csv,98.30108941,97.41549401,96.56750717,94.82580864
25ë²?6_Data_20240920_200324.csv,96.19324717,95.32664134,92.30880551,90.64391723
25ë²?7_Data_20240920_201029.csv,95.90662572,95.04260207,91.7297132,90.07526947
26ë²?1_Data_20240919_201001.csv,97.69618483,96.81603902,95.34535303,93.62569737
26ë²?2_Data_20240919_201821.csv,96.44045723,95.57162428,92.80827073,91.13437406
26ë²?3_Data_20240919_202544.csv,98.37056168,97.48434041,96.70786952,94.96363941
26ë²?4_Data_20240919_203343.csv,96.79334026,95.92132819,93.52123849,91.83448269
26ë²?5_Data_20240919_2040582.csv,97.26112155,96.38489523,94.46634762,92.76254576
26ë²?6_Data_20240921_095846.csv,95.85419073,94.99063947,91.62377311,89.97124013
26ë²?7_Data_20240921_100724.csv,95.32171517,94.46296098,90.54795514,88.91482569
